"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Feb 13 16:53:16 GMT 2023","Mon Feb 13 16:53:24 GMT 2023","7750","","Testing the Login page","","Testing the Login page","ID 20 Check the Log in with Microsoft button on the Login page opens the Microsoft Sign in page","ID 20 Check the Log in with Microsoft button on the Login page opens the Microsoft Sign in page",""
"passed","Mon Feb 13 16:54:19 GMT 2023","Mon Feb 13 16:54:23 GMT 2023","4385","","Testing the blog page","","Testing the blog page","ID 15 Сheck the functionality of the ""Talk to an expert"" reference on the Ooma page","ID 15 Сheck the functionality of the ""Talk to an expert"" reference on the Ooma page",""
"passed","Mon Feb 13 16:51:49 GMT 2023","Mon Feb 13 16:51:54 GMT 2023","4972","","Testing the blog page","","Testing the blog page","ID 11 Check ability to filter news by product on the ""Blog"" page","ID 11 Check ability to filter news by product on the ""Blog"" page",""
"passed","Mon Feb 13 16:55:28 GMT 2023","Mon Feb 13 16:55:32 GMT 2023","3804","","Testing the Sign Up page","","Testing the Sign Up page","ID 10 Check ability to read Privacy Policy information on the Signup page","ID 10 Check ability to read Privacy Policy information on the Signup page",""
"passed","Mon Feb 13 16:56:18 GMT 2023","Mon Feb 13 16:56:28 GMT 2023","10183","","Testing the main page","","Testing the main page","ID 14 Сheck the functionality of the ""Twitter"" reference on the Telnyx page","ID 14 Сheck the functionality of the ""Twitter"" reference on the Telnyx page",""
"passed","Mon Feb 13 16:55:48 GMT 2023","Mon Feb 13 16:55:52 GMT 2023","3350","","Testing the blog page","","Testing the blog page","ID 16 Сheck the phone number in the “Talk to our product experts” section on Talk to an expert page","ID 16 Сheck the phone number in the “Talk to our product experts” section on Talk to an expert page",""
"passed","Mon Feb 13 16:52:16 GMT 2023","Mon Feb 13 16:52:21 GMT 2023","5367","","Testing the IoT-sim-card page","","Testing the IoT-sim-card page","ID 18 Check the Get a Sim Card button on the IoT-sim-card page opens the Sign-up page","ID 18 Check the Get a Sim Card button on the IoT-sim-card page opens the Sign-up page",""
"passed","Mon Feb 13 16:52:22 GMT 2023","Mon Feb 13 16:52:33 GMT 2023","10956","","Testing the Login page","","Testing the Login page","ID 19 Check the Sign-up link on the Login page opens the Sign-up page","ID 19 Check the Sign-up link on the Login page opens the Sign-up page",""
"broken","Mon Feb 13 16:53:33 GMT 2023","Mon Feb 13 16:54:01 GMT 2023","27882","","My Cart page","","My Cart page","""before all"" hook for My Cart page","""before all"" hook for My Cart page",""
"broken","Mon Feb 13 16:56:03 GMT 2023","Mon Feb 13 16:56:13 GMT 2023","10325","","My Login application","","My Login application","ID 6 Check the Start messaging link on the Home page opens Telnyx Developers Page","ID 6 Check the Start messaging link on the Home page opens Telnyx Developers Page",""
"passed","Mon Feb 13 16:53:56 GMT 2023","Mon Feb 13 16:53:58 GMT 2023","2545","","Testing the Sign Up page","","Testing the Sign Up page","ID 10 Check ability to read Privacy Policy information on the Signup page","ID 10 Check ability to read Privacy Policy information on the Signup page",""
"broken","Mon Feb 13 16:55:32 GMT 2023","Mon Feb 13 16:55:53 GMT 2023","20189","","My Login application","","My Login application","ID 3 Verify the Add to card Button on the Numbers / Search & Buy Numbers page adds chosen number to the Cart","ID 3 Verify the Add to card Button on the Numbers / Search & Buy Numbers page adds chosen number to the Cart",""
"broken","Mon Feb 13 16:54:05 GMT 2023","Mon Feb 13 16:54:32 GMT 2023","27169","","My Login application","","My Login application","ID 1 Verify the Toll-Free Numbers Button on the Numbers / Search & Buy Numbers page opens the Search Numbers section by Country Code","ID 1 Verify the Toll-Free Numbers Button on the Numbers / Search & Buy Numbers page opens the Search Numbers section by Country Code",""
"passed","Mon Feb 13 16:53:08 GMT 2023","Mon Feb 13 16:53:15 GMT 2023","6815","","Testing the blog page","","Testing the blog page","ID 15 Сheck the functionality of the ""Talk to an expert"" reference on the Ooma page","ID 15 Сheck the functionality of the ""Talk to an expert"" reference on the Ooma page",""
"broken","Mon Feb 13 16:52:36 GMT 2023","Mon Feb 13 16:53:06 GMT 2023","30342","","My Cart page","","My Cart page","""before all"" hook for My Cart page","""before all"" hook for My Cart page",""
"passed","Mon Feb 13 16:53:03 GMT 2023","Mon Feb 13 16:53:16 GMT 2023","13165","","Testing the Login page","","Testing the Login page","ID 19 Check the Sign-up link on the Login page opens the Sign-up page","ID 19 Check the Sign-up link on the Login page opens the Sign-up page",""
"broken","Mon Feb 13 16:54:33 GMT 2023","Mon Feb 13 16:54:51 GMT 2023","17692","","Testing the Pricing page","","Testing the Pricing page","ID 8 Сheck that the marks on a slider on Pricing Tier Control in the Outbound (Termination) Voice/Fax Usage section correspond right button  on the Pricing page","ID 8 Сheck that the marks on a slider on Pricing Tier Control in the Outbound (Termination) Voice/Fax Usage section correspond right button  on the Pricing page",""
"broken","Mon Feb 13 16:54:32 GMT 2023","Mon Feb 13 16:55:32 GMT 2023","60002","","My Login application","","My Login application","ID 2 Verify the Identity Sidenav bar on the Numbers / Search & Buy Numbers page contains Verify and Number Lookup links","ID 2 Verify the Identity Sidenav bar on the Numbers / Search & Buy Numbers page contains Verify and Number Lookup links",""
"passed","Mon Feb 13 16:53:47 GMT 2023","Mon Feb 13 16:53:52 GMT 2023","4903","","Testing the Sign Up page","","Testing the Sign Up page","ID 9 Check ability to sign up without agree terms of conditions and privacy policy on the Signup page","ID 9 Check ability to sign up without agree terms of conditions and privacy policy on the Signup page",""
"broken","Mon Feb 13 16:57:51 GMT 2023","Mon Feb 13 16:58:01 GMT 2023","10113","","My Login application","","My Login application","ID 5 Check the  Welcome to your Mission Control Portal, API Keys, Get started with Messaging, Get started with Verify, and Shortcuts sections are visible on the Home page","ID 5 Check the  Welcome to your Mission Control Portal, API Keys, Get started with Messaging, Get started with Verify, and Shortcuts sections are visible on the Home page",""
"broken","Mon Feb 13 16:56:03 GMT 2023","Mon Feb 13 16:56:31 GMT 2023","27652","","My Login application","","My Login application","ID 1 Verify the Toll-Free Numbers Button on the Numbers / Search & Buy Numbers page opens the Search Numbers section by Country Code","ID 1 Verify the Toll-Free Numbers Button on the Numbers / Search & Buy Numbers page opens the Search Numbers section by Country Code",""
"passed","Mon Feb 13 16:55:18 GMT 2023","Mon Feb 13 16:55:24 GMT 2023","5360","","Testing the Sign Up page","","Testing the Sign Up page","ID 9 Check ability to sign up without agree terms of conditions and privacy policy on the Signup page","ID 9 Check ability to sign up without agree terms of conditions and privacy policy on the Signup page",""
"passed","Mon Feb 13 16:53:52 GMT 2023","Mon Feb 13 16:53:56 GMT 2023","3375","","Testing the Sign Up page","","Testing the Sign Up page","ID 17 Сheck the possibility to add the necessary characters to become password valid, after an unsuccessful attempt to register on Sign up page","ID 17 Сheck the possibility to add the necessary characters to become password valid, after an unsuccessful attempt to register on Sign up page",""
"broken","Mon Feb 13 16:57:31 GMT 2023","Mon Feb 13 16:57:51 GMT 2023","20063","","My Login application","","My Login application","ID 3 Verify the Add to card Button on the Numbers / Search & Buy Numbers page adds chosen number to the Cart","ID 3 Verify the Add to card Button on the Numbers / Search & Buy Numbers page adds chosen number to the Cart",""
"broken","Mon Feb 13 16:52:33 GMT 2023","Mon Feb 13 16:52:34 GMT 2023","191","","Testing the Login page","","Testing the Login page","ID 20 Check the Log in with Microsoft button on the Login page opens the Microsoft Sign in page","ID 20 Check the Log in with Microsoft button on the Login page opens the Microsoft Sign in page",""
"broken","Mon Feb 13 16:53:18 GMT 2023","Mon Feb 13 16:53:39 GMT 2023","20837","","Testing the Pricing page","","Testing the Pricing page","ID 8 Сheck that the marks on a slider on Pricing Tier Control in the Outbound (Termination) Voice/Fax Usage section correspond right button  on the Pricing page","ID 8 Сheck that the marks on a slider on Pricing Tier Control in the Outbound (Termination) Voice/Fax Usage section correspond right button  on the Pricing page",""
"passed","Mon Feb 13 16:56:15 GMT 2023","Mon Feb 13 16:56:18 GMT 2023","3441","","Testing the main page","","Testing the main page","ID 13 Check redirection to Cookie Policy information from footer on Telnyx page","ID 13 Check redirection to Cookie Policy information from footer on Telnyx page",""
"passed","Mon Feb 13 16:55:24 GMT 2023","Mon Feb 13 16:55:28 GMT 2023","4689","","Testing the Sign Up page","","Testing the Sign Up page","ID 17 Сheck the possibility to add the necessary characters to become password valid, after an unsuccessful attempt to register on Sign up page","ID 17 Сheck the possibility to add the necessary characters to become password valid, after an unsuccessful attempt to register on Sign up page",""
"passed","Mon Feb 13 16:52:49 GMT 2023","Mon Feb 13 16:52:55 GMT 2023","6305","","Testing the IoT-sim-card page","","Testing the IoT-sim-card page","ID 18 Check the Get a Sim Card button on the IoT-sim-card page opens the Sign-up page","ID 18 Check the Get a Sim Card button on the IoT-sim-card page opens the Sign-up page",""
"broken","Mon Feb 13 16:55:53 GMT 2023","Mon Feb 13 16:56:03 GMT 2023","10254","","My Login application","","My Login application","ID 5 Check the  Welcome to your Mission Control Portal, API Keys, Get started with Messaging, Get started with Verify, and Shortcuts sections are visible on the Home page","ID 5 Check the  Welcome to your Mission Control Portal, API Keys, Get started with Messaging, Get started with Verify, and Shortcuts sections are visible on the Home page",""
"passed","Mon Feb 13 16:54:00 GMT 2023","Mon Feb 13 16:54:04 GMT 2023","3825","","Testing the blog page","","Testing the blog page","ID 16 Сheck the phone number in the “Talk to our product experts” section on Talk to an expert page","ID 16 Сheck the phone number in the “Talk to our product experts” section on Talk to an expert page",""
"passed","Mon Feb 13 16:55:03 GMT 2023","Mon Feb 13 16:55:07 GMT 2023","3885","","Testing the Report Abuse page","","Testing the Report Abuse page","ID 12 Check the ability to send a report with empty fields on Report Abuse page","ID 12 Check the ability to send a report with empty fields on Report Abuse page",""
"passed","Mon Feb 13 16:53:42 GMT 2023","Mon Feb 13 16:53:46 GMT 2023","4127","","Testing the Report Abuse page","","Testing the Report Abuse page","ID 12 Check the ability to send a report with empty fields on Report Abuse page","ID 12 Check the ability to send a report with empty fields on Report Abuse page",""
"broken","Mon Feb 13 16:56:31 GMT 2023","Mon Feb 13 16:57:31 GMT 2023","60002","","My Login application","","My Login application","ID 2 Verify the Identity Sidenav bar on the Numbers / Search & Buy Numbers page contains Verify and Number Lookup links","ID 2 Verify the Identity Sidenav bar on the Numbers / Search & Buy Numbers page contains Verify and Number Lookup links",""
"passed","Mon Feb 13 16:52:10 GMT 2023","Mon Feb 13 16:52:17 GMT 2023","6893","","Testing the blog page","","Testing the blog page","ID 11 Check ability to filter news by product on the ""Blog"" page","ID 11 Check ability to filter news by product on the ""Blog"" page",""
"passed","Mon Feb 13 16:58:21 GMT 2023","Mon Feb 13 16:58:32 GMT 2023","10805","","Testing the main page","","Testing the main page","ID 14 Сheck the functionality of the ""Twitter"" reference on the Telnyx page","ID 14 Сheck the functionality of the ""Twitter"" reference on the Telnyx page",""
"broken","Mon Feb 13 16:58:01 GMT 2023","Mon Feb 13 16:58:11 GMT 2023","10080","","My Login application","","My Login application","ID 6 Check the Start messaging link on the Home page opens Telnyx Developers Page","ID 6 Check the Start messaging link on the Home page opens Telnyx Developers Page",""
"broken","Mon Feb 13 16:52:34 GMT 2023","Mon Feb 13 16:52:43 GMT 2023","9184","","Testing the Demo Video App page","","Testing the Demo Video App page","""before all"" hook for Testing the Demo Video App page","""before all"" hook for Testing the Demo Video App page",""
"broken","Mon Feb 13 16:51:55 GMT 2023","Mon Feb 13 16:52:13 GMT 2023","17922","","Testing the Demo Video App page","","Testing the Demo Video App page","ID 7 Check the ability to create Video Room with an invalid URL on the Demo Video App page","ID 7 Check the ability to create Video Room with an invalid URL on the Demo Video App page",""
"passed","Mon Feb 13 16:58:18 GMT 2023","Mon Feb 13 16:58:21 GMT 2023","3145","","Testing the main page","","Testing the main page","ID 13 Check redirection to Cookie Policy information from footer on Telnyx page","ID 13 Check redirection to Cookie Policy information from footer on Telnyx page",""
