"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Feb 10 12:37:40 EET 2023","Fri Feb 10 12:37:44 EET 2023","3768","","Testing the main page","","Testing the main page","ID 13 Check redirection to Cookie Policy information from footer on Telnyx page","ID 13 Check redirection to Cookie Policy information from footer on Telnyx page",""
"passed","Fri Feb 10 12:35:56 EET 2023","Fri Feb 10 12:36:05 EET 2023","9042","","Testing the Sign Up page","","Testing the Sign Up page","ID 10 Check ability to read Privacy Policy information on the Signup page","ID 10 Check ability to read Privacy Policy information on the Signup page",""
"passed","Fri Feb 10 12:36:10 EET 2023","Fri Feb 10 12:36:20 EET 2023","9177","","Testing the blog page","","Testing the blog page","ID 16 Сheck the phone number in the “Talk to our product experts” section on Talk to an expert page","ID 16 Сheck the phone number in the “Talk to our product experts” section on Talk to an expert page",""
"passed","Fri Feb 10 12:22:53 EET 2023","Fri Feb 10 12:23:24 EET 2023","30481","","My Cart page","","My Cart page","ID 4 Verify the Total Credit Required on the My Cart page shows the right total amount","ID 4 Verify the Total Credit Required on the My Cart page shows the right total amount",""
"passed","Fri Feb 10 12:37:06 EET 2023","Fri Feb 10 12:37:07 EET 2023","437","","My Login application","","My Login application","ID 5 Check the  Welcome to your Mission Control Portal, API Keys, Get started with Messaging, Get started with Verify, and Shortcuts sections are visible on the Home page","ID 5 Check the  Welcome to your Mission Control Portal, API Keys, Get started with Messaging, Get started with Verify, and Shortcuts sections are visible on the Home page",""
"broken","Fri Feb 10 11:31:28 EET 2023","Fri Feb 10 11:32:28 EET 2023","60013","","Testing the Pricing page","","Testing the Pricing page","""before all"" hook for Testing the Pricing page","""before all"" hook for Testing the Pricing page",""
"passed","Fri Feb 10 12:32:58 EET 2023","Fri Feb 10 12:34:17 EET 2023","79122","","Testing the Demo Video App page","","Testing the Demo Video App page","ID 7 Check the ability to create Video Room with an invalid URL on the Demo Video App page","ID 7 Check the ability to create Video Room with an invalid URL on the Demo Video App page",""
"passed","Fri Feb 10 12:38:29 EET 2023","Fri Feb 10 12:38:40 EET 2023","10976","","My Login application","","My Login application","ID 6 Check the Start messaging link on the Home page opens Telnyx Developers Page","ID 6 Check the Start messaging link on the Home page opens Telnyx Developers Page",""
"passed","Fri Feb 10 12:33:58 EET 2023","Fri Feb 10 12:34:23 EET 2023","25298","","Testing the Login page","","Testing the Login page","ID 19 Check the Sign-up link on the Login page opens the Sign-up page","ID 19 Check the Sign-up link on the Login page opens the Sign-up page",""
"broken","Fri Feb 10 12:34:50 EET 2023","Fri Feb 10 12:36:00 EET 2023","69901","","Testing the Pricing page","","Testing the Pricing page","ID 8 Сheck that the marks on a slider on Pricing Tier Control in the Outbound (Termination) Voice/Fax Usage section correspond right button  on the Pricing page","ID 8 Сheck that the marks on a slider on Pricing Tier Control in the Outbound (Termination) Voice/Fax Usage section correspond right button  on the Pricing page",""
"passed","Fri Feb 10 12:37:12 EET 2023","Fri Feb 10 12:37:19 EET 2023","7579","","Testing the blog page","","Testing the blog page","ID 16 Сheck the phone number in the “Talk to our product experts” section on Talk to an expert page","ID 16 Сheck the phone number in the “Talk to our product experts” section on Talk to an expert page",""
"passed","Fri Feb 10 12:33:14 EET 2023","Fri Feb 10 12:33:58 EET 2023","44278","","Testing the Login page","","Testing the Login page","ID 19 Check the Sign-up link on the Login page opens the Sign-up page","ID 19 Check the Sign-up link on the Login page opens the Sign-up page",""
"passed","Fri Feb 10 12:37:02 EET 2023","Fri Feb 10 12:37:03 EET 2023","180","","My Login application","","My Login application","ID 2 Verify the Identity Sidenav bar on the Numbers / Search & Buy Numbers page contains Verify and Number Lookup links","ID 2 Verify the Identity Sidenav bar on the Numbers / Search & Buy Numbers page contains Verify and Number Lookup links",""
"passed","Fri Feb 10 12:35:39 EET 2023","Fri Feb 10 12:35:50 EET 2023","11134","","Testing the Sign Up page","","Testing the Sign Up page","ID 9 Check ability to sign up without agree terms of conditions and privacy policy on the Signup page","ID 9 Check ability to sign up without agree terms of conditions and privacy policy on the Signup page",""
"broken","Fri Feb 10 11:31:59 EET 2023","Fri Feb 10 11:32:59 EET 2023","60029","","Testing the Pricing page","","Testing the Pricing page","""before all"" hook for Testing the Pricing page","""before all"" hook for Testing the Pricing page",""
"passed","Fri Feb 10 12:37:45 EET 2023","Fri Feb 10 12:38:29 EET 2023","43772","","My Login application","","My Login application","ID 5 Check the  Welcome to your Mission Control Portal, API Keys, Get started with Messaging, Get started with Verify, and Shortcuts sections are visible on the Home page","ID 5 Check the  Welcome to your Mission Control Portal, API Keys, Get started with Messaging, Get started with Verify, and Shortcuts sections are visible on the Home page",""
"broken","Fri Feb 10 12:33:58 EET 2023","Fri Feb 10 12:34:46 EET 2023","47847","","Testing the Login page","","Testing the Login page","ID 20 Check the Log in with Microsoft button on the Login page opens the Microsoft Sign in page","ID 20 Check the Log in with Microsoft button on the Login page opens the Microsoft Sign in page",""
"passed","Fri Feb 10 12:34:43 EET 2023","Fri Feb 10 12:35:15 EET 2023","32166","","Testing the blog page","","Testing the blog page","ID 15 Сheck the functionality of the ""Talk to an expert"" reference on the Ooma page","ID 15 Сheck the functionality of the ""Talk to an expert"" reference on the Ooma page",""
"passed","Fri Feb 10 12:36:34 EET 2023","Fri Feb 10 12:36:43 EET 2023","8293","","Testing the Sign Up page","","Testing the Sign Up page","ID 17 Сheck the possibility to add the necessary characters to become password valid, after an unsuccessful attempt to register on Sign up page","ID 17 Сheck the possibility to add the necessary characters to become password valid, after an unsuccessful attempt to register on Sign up page",""
"broken","Fri Feb 10 12:27:18 EET 2023","Fri Feb 10 12:28:18 EET 2023","60148","","Testing the Demo Video App page","","Testing the Demo Video App page","""before all"" hook for Testing the Demo Video App page","""before all"" hook for Testing the Demo Video App page",""
"passed","Fri Feb 10 12:32:43 EET 2023","Fri Feb 10 12:32:50 EET 2023","6094","","Testing the blog page","","Testing the blog page","ID 11 Check ability to filter news by product on the ""Blog"" page","ID 11 Check ability to filter news by product on the ""Blog"" page",""
"passed","Fri Feb 10 12:36:27 EET 2023","Fri Feb 10 12:36:34 EET 2023","7243","","Testing the Sign Up page","","Testing the Sign Up page","ID 9 Check ability to sign up without agree terms of conditions and privacy policy on the Signup page","ID 9 Check ability to sign up without agree terms of conditions and privacy policy on the Signup page",""
"passed","Fri Feb 10 12:36:33 EET 2023","Fri Feb 10 12:36:46 EET 2023","12295","","Testing the main page","","Testing the main page","ID 14 Сheck the functionality of the ""Twitter"" reference on the Telnyx page","ID 14 Сheck the functionality of the ""Twitter"" reference on the Telnyx page",""
"passed","Fri Feb 10 12:32:58 EET 2023","Fri Feb 10 12:33:11 EET 2023","12582","","Testing the blog page","","Testing the blog page","ID 11 Check ability to filter news by product on the ""Blog"" page","ID 11 Check ability to filter news by product on the ""Blog"" page",""
"broken","Fri Feb 10 11:33:08 EET 2023","Fri Feb 10 11:34:08 EET 2023","60037","","My Login application","","My Login application","""before all"" hook for My Login application","""before all"" hook for My Login application",""
"passed","Fri Feb 10 12:34:57 EET 2023","Fri Feb 10 12:35:11 EET 2023","14277","","Testing the blog page","","Testing the blog page","ID 15 Сheck the functionality of the ""Talk to an expert"" reference on the Ooma page","ID 15 Сheck the functionality of the ""Talk to an expert"" reference on the Ooma page",""
"broken","Fri Feb 10 11:32:35 EET 2023","Fri Feb 10 11:33:35 EET 2023","60006","","My Login application","","My Login application","""before all"" hook for My Login application","""before all"" hook for My Login application",""
"passed","Fri Feb 10 12:16:59 EET 2023","Fri Feb 10 12:17:48 EET 2023","48849","","My Cart page","","My Cart page","ID 4 Verify the Total Credit Required on the My Cart page shows the right total amount","ID 4 Verify the Total Credit Required on the My Cart page shows the right total amount",""
"passed","Fri Feb 10 12:32:52 EET 2023","Fri Feb 10 12:33:07 EET 2023","14769","","Testing the IoT-sim-card page","","Testing the IoT-sim-card page","ID 18 Check the Get a Sim Card button on the IoT-sim-card page opens the Sign-up page","ID 18 Check the Get a Sim Card button on the IoT-sim-card page opens the Sign-up page",""
"broken","Fri Feb 10 12:34:40 EET 2023","Fri Feb 10 12:35:40 EET 2023","60030","","My Cart page","","My Cart page","""before all"" hook for My Cart page","""before all"" hook for My Cart page",""
"passed","Fri Feb 10 12:37:40 EET 2023","Fri Feb 10 12:37:41 EET 2023","370","","My Login application","","My Login application","ID 2 Verify the Identity Sidenav bar on the Numbers / Search & Buy Numbers page contains Verify and Number Lookup links","ID 2 Verify the Identity Sidenav bar on the Numbers / Search & Buy Numbers page contains Verify and Number Lookup links",""
